Step,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP
68,0.803809524,0.80952381,0.77047619,0.781904762,0.843809524,0.792380952,0.78952381,0.76,0.760952381,0.845714286,0.778095238,0.79047619,0.753333333,0.762857143,0.846666667,0.10952381,0.740952381,0.753333333,0.10952381,0.842857143
69,0.811428571,0.813333333,0.78,0.78,0.843809524,0.792380952,0.793333333,0.767619048,0.757142857,0.844761905,0.78,0.79047619,0.759047619,0.761904762,0.848571429,0.10952381,0.737142857,0.760952381,0.10952381,0.843809524
70,0.814285714,0.812380952,0.78,0.782857143,0.844761905,0.792380952,0.794285714,0.76952381,0.763809524,0.841904762,0.78,0.792380952,0.761904762,0.76952381,0.84952381,0.10952381,0.74,0.747619048,0.10952381,0.843809524
71,0.815238095,0.814285714,0.774285714,0.784761905,0.843809524,0.791428571,0.792380952,0.761904762,0.760952381,0.84,0.780952381,0.79047619,0.765714286,0.77047619,0.84952381,0.10952381,0.740952381,0.763809524,0.10952381,0.841904762
72,0.812380952,0.813333333,0.771428571,0.780952381,0.841904762,0.792380952,0.792380952,0.761904762,0.768571429,0.840952381,0.778095238,0.792380952,0.759047619,0.767619048,0.84952381,0.10952381,0.744761905,0.761904762,0.10952381,0.842857143
73,0.811428571,0.814285714,0.76952381,0.783809524,0.841904762,0.792380952,0.793333333,0.756190476,0.766666667,0.84,0.785714286,0.792380952,0.754285714,0.77047619,0.846666667,0.10952381,0.732380952,0.768571429,0.10952381,0.843809524
74,0.813333333,0.813333333,0.771428571,0.787619048,0.842857143,0.793333333,0.795238095,0.76,0.77047619,0.84,0.786666667,0.794285714,0.759047619,0.768571429,0.845714286,0.10952381,0.74952381,0.768571429,0.10952381,0.842857143
75,0.813333333,0.812380952,0.774285714,0.78952381,0.843809524,0.791428571,0.797142857,0.756190476,0.771428571,0.84,0.783809524,0.794285714,0.758095238,0.767619048,0.845714286,0.10952381,0.739047619,0.768571429,0.10952381,0.842857143
76,0.813333333,0.808571429,0.771428571,0.791428571,0.843809524,0.791428571,0.786666667,0.758095238,0.77047619,0.839047619,0.784761905,0.796190476,0.755238095,0.768571429,0.844761905,0.10952381,0.744761905,0.759047619,0.10952381,0.842857143
77,0.814285714,0.80952381,0.767619048,0.793333333,0.843809524,0.792380952,0.78952381,0.762857143,0.778095238,0.839047619,0.783809524,0.795238095,0.755238095,0.771428571,0.843809524,0.10952381,0.726666667,0.768571429,0.10952381,0.841904762
78,0.812380952,0.808571429,0.772380952,0.794285714,0.843809524,0.792380952,0.794285714,0.76,0.76952381,0.839047619,0.784761905,0.799047619,0.765714286,0.778095238,0.843809524,0.10952381,0.736190476,0.768571429,0.10952381,0.841904762
79,0.812380952,0.812380952,0.773333333,0.797142857,0.844761905,0.792380952,0.79047619,0.76,0.768571429,0.84,0.782857143,0.799047619,0.76952381,0.775238095,0.843809524,0.10952381,0.740952381,0.767619048,0.10952381,0.841904762
80,0.812380952,0.80952381,0.772380952,0.797142857,0.843809524,0.791428571,0.793333333,0.752380952,0.772380952,0.84,0.784761905,0.801904762,0.766666667,0.771428571,0.844761905,0.10952381,0.744761905,0.772380952,0.10952381,0.841904762
81,0.811428571,0.81047619,0.771428571,0.8,0.842857143,0.791428571,0.795238095,0.759047619,0.779047619,0.84,0.787619048,0.803809524,0.766666667,0.773333333,0.844761905,0.10952381,0.738095238,0.768571429,0.10952381,0.841904762
82,0.812380952,0.80952381,0.76952381,0.798095238,0.842857143,0.791428571,0.793333333,0.754285714,0.762857143,0.84,0.788571429,0.802857143,0.760952381,0.777142857,0.844761905,0.10952381,0.738095238,0.766666667,0.10952381,0.841904762
83,0.811428571,0.816190476,0.779047619,0.798095238,0.842857143,0.79047619,0.795238095,0.741904762,0.771428571,0.838095238,0.793333333,0.801904762,0.756190476,0.777142857,0.843809524,0.10952381,0.748571429,0.774285714,0.10952381,0.841904762
84,0.813333333,0.81047619,0.773333333,0.798095238,0.842857143,0.791428571,0.797142857,0.757142857,0.766666667,0.838095238,0.792380952,0.804761905,0.761904762,0.779047619,0.842857143,0.10952381,0.745714286,0.768571429,0.10952381,0.841904762
85,0.813333333,0.812380952,0.774285714,0.795238095,0.843809524,0.791428571,0.794285714,0.757142857,0.76952381,0.838095238,0.791428571,0.805714286,0.764761905,0.773333333,0.842857143,0.10952381,0.738095238,0.76952381,0.10952381,0.841904762
86,0.813333333,0.812380952,0.775238095,0.795238095,0.843809524,0.79047619,0.797142857,0.757142857,0.778095238,0.839047619,0.797142857,0.805714286,0.763809524,0.774285714,0.842857143,0.10952381,0.752380952,0.771428571,0.10952381,0.841904762
87,0.81047619,0.811428571,0.776190476,0.795238095,0.843809524,0.791428571,0.793333333,0.757142857,0.774285714,0.838095238,0.799047619,0.805714286,0.759047619,0.778095238,0.842857143,0.10952381,0.72952381,0.773333333,0.10952381,0.841904762
88,0.812380952,0.815238095,0.774285714,0.797142857,0.843809524,0.793333333,0.79047619,0.754285714,0.775238095,0.838095238,0.794285714,0.804761905,0.762857143,0.78,0.841904762,0.10952381,0.747619048,0.773333333,0.10952381,0.843809524
89,0.812380952,0.813333333,0.772380952,0.798095238,0.843809524,0.793333333,0.793333333,0.755238095,0.775238095,0.837142857,0.794285714,0.804761905,0.759047619,0.78,0.841904762,0.10952381,0.741904762,0.768571429,0.10952381,0.843809524
90,0.811428571,0.815238095,0.775238095,0.8,0.843809524,0.793333333,0.791428571,0.758095238,0.767619048,0.838095238,0.8,0.803809524,0.765714286,0.781904762,0.841904762,0.10952381,0.735238095,0.764761905,0.10952381,0.843809524
91,0.812380952,0.813333333,0.775238095,0.798095238,0.842857143,0.792380952,0.795238095,0.753333333,0.765714286,0.838095238,0.795238095,0.806666667,0.760952381,0.781904762,0.842857143,0.10952381,0.731428571,0.771428571,0.10952381,0.843809524
92,0.815238095,0.813333333,0.774285714,0.798095238,0.841904762,0.794285714,0.796190476,0.754285714,0.768571429,0.838095238,0.799047619,0.804761905,0.765714286,0.780952381,0.842857143,0.10952381,0.739047619,0.763809524,0.10952381,0.843809524
93,0.817142857,0.814285714,0.775238095,0.801904762,0.842857143,0.794285714,0.797142857,0.752380952,0.772380952,0.838095238,0.799047619,0.803809524,0.766666667,0.78,0.842857143,0.10952381,0.738095238,0.768571429,0.10952381,0.843809524
94,0.814285714,0.814285714,0.778095238,0.800952381,0.842857143,0.794285714,0.796190476,0.748571429,0.76952381,0.838095238,0.799047619,0.805714286,0.758095238,0.78,0.842857143,0.10952381,0.72952381,0.76952381,0.10952381,0.843809524
95,0.82,0.817142857,0.778095238,0.803809524,0.842857143,0.795238095,0.797142857,0.755238095,0.774285714,0.84,0.799047619,0.803809524,0.756190476,0.784761905,0.842857143,0.10952381,0.746666667,0.771428571,0.10952381,0.843809524
96,0.820952381,0.815238095,0.780952381,0.803809524,0.842857143,0.793333333,0.800952381,0.75047619,0.771428571,0.84,0.798095238,0.806666667,0.76,0.784761905,0.843809524,0.10952381,0.737142857,0.773333333,0.10952381,0.842857143
97,0.820952381,0.812380952,0.778095238,0.803809524,0.842857143,0.794285714,0.799047619,0.74952381,0.771428571,0.84,0.798095238,0.805714286,0.762857143,0.780952381,0.843809524,0.10952381,0.742857143,0.76952381,0.10952381,0.842857143
98,0.82,0.815238095,0.780952381,0.802857143,0.842857143,0.792380952,0.798095238,0.751428571,0.765714286,0.84,0.798095238,0.808571429,0.761904762,0.780952381,0.843809524,0.10952381,0.726666667,0.755238095,0.10952381,0.842857143
99,0.820952381,0.814285714,0.777142857,0.802857143,0.842857143,0.793333333,0.802857143,0.754285714,0.774285714,0.84,0.793333333,0.81047619,0.763809524,0.782857143,0.843809524,0.10952381,0.740952381,0.775238095,0.10952381,0.842857143
